S2G ID,Fecha,energy_main(kWh),Ventas,Invitados,intensidad_kWh_invitado,ticket_promedio_MXN_invitado,Nombre,Zona_CMR
CH51,31/07/2019,171.9807,72976.97,350,0.491373429,208.5056,Mérida Galerías,YUC
CH52,31/07/2019,393.6774,34414.65,147,2.678077551,234.1133,Veracruz Boca del Río,VER
CH53,31/07/2019,349.5267,40306.04,150,2.330178,268.7069,Villahermosa,TAB
CH54,31/07/2019,329.8818,47644.19,205,1.609179512,232.4107,Villahermosa II,TAB
CH55,31/07/2019,140.8863,35420.79,145,0.971629655,244.2813,Tlaxcala,TLX
CH56,31/07/2019,245.8985,32053.39,138,1.781873188,232.2709,Tuxtla II,CP
CH57,31/07/2019,206.2095,44897.66,175,1.17834,256.5581,Silao,GTO
CH58,31/07/2019,253.4914,24934.5,112,2.263316071,222.6295,Chihuahua III,CHI
CH59,31/07/2019,249.3682,24526.96,110,2.266983636,222.9724,Apodaca II,MTY
CH61,31/07/2019,416.1362,47897.3,202,2.060080198,237.1153,MTY Nuevo Sur,MTY
CH62,31/07/2019,106.976,14928.21,73,1.465424658,204.496,Chili's Ciudadela,GDL
CH63,31/07/2019,221.2016,56185.03,255,0.867457255,220.3335,Galerías Celaya,GTO
CH64,31/07/2019,94.472,35845.68,163,0.579582822,219.9121,Chili's Plaza Aurora,MTY
DT01,31/07/2019,283.432,67244.19,136,2.084058824,494.4426,Destilería Cancún,YUC
DT02,31/07/2019,159.041,56042.07,185,0.859681081,302.9301,Destilería Reforma,CDMX
ELA01,31/07/2019,359.968,104763.47,155,2.322374194,675.8934,Restaurante El Lago,CDMX
OLG01,31/07/2019,213.341,43728.32,198,1.077479798,220.8501,Olive Garden Reforma,CDMX
OLG02,31/07/2019,142.58,33376.32,159,0.89672956,209.914,Olive Garden Santa Fe,CDMX
OLG03,31/07/2019,388.731,64079.5,308,1.262113636,208.0503,Olive Garden Cancún,YUC
OLG04,31/07/2019,195.162,23088.68,102,1.913352941,226.3596,Olive Garden Querétaro,QRO
TCG01,31/07/2019,389.947,176875.47,182,2.142565934,971.8432,The Capital Grille,CDMX
TCG02,31/07/2019,423.783,65747.82,69,6.141782609,952.867,The Capital Grille Mty,MTY
CH01,01/08/2019,951.8496,69358,320,2.97453,216.7438,Aguascalientes I,AGS
CH02,01/08/2019,709.2416,28691,125,5.6739328,229.528,Aguascalientes II,AGS
CH03,01/08/2019,1471.4208,66668,313,4.70102492,212.9968,Apodaca,MTY
CH04,01/08/2019,899.0689,55844,266,3.379958271,209.9398,Centro Magno,GDL
CH05,01/08/2019,1016.5142,33678,138,7.366044928,244.0435,Chihuahua I,CHI
CH06,01/08/2019,717.2122,31060,143,5.01546993,217.2028,Chihuahua II,CHI
CH07,01/08/2019,1411.3379,81535,352,4.00948267,231.6335,Churubusco,MTY
CH08,01/08/2019,1184.8577,39067,175,6.770615429,223.24,Cintermex,MTY
CH09,01/08/2019,901.3004,27492,127,7.096853543,216.4724,Ciudad del Carmen,CAM
CH10,01/08/2019,1518.4128,57272,260,5.840049231,220.2769,Contry,MTY
CH11,01/08/2019,905.6373,89319,357,2.53679916,250.1933,El Salto,GDL
CH12,01/08/2019,1213.3711,30071,129,9.405977519,233.1085,Forum Cancún,CUN
CH13,01/08/2019,836.6822,38203,178,4.700461798,214.6236,Forum Tepic,TEP
CH14,01/08/2019,998.2784,37838,155,6.440505806,244.1161,Forum Tlaquepaque,GDL
CH15,01/08/2019,958.3326,56812,261,3.671772414,217.6705,Galerías Gdl,GDL
CH16,01/08/2019,1107.7303,56884,266,4.164399624,213.8496,Galerías Mty,MTY
CH17,01/08/2019,651.1868,59000,276,2.359372464,213.7681,Puerto Vallarta,JAL
CH18,01/08/2019,750.612,53735,246,3.051268293,218.435,Gran Plaza,GDL
CH20,01/08/2019,787.1179,78210,358,2.198653352,218.4637,León I,GTO
CH21,01/08/2019,832.2583,36199,172,4.838711047,210.4593,León II,GTO
CH22,01/08/2019,902.451,62760,283,3.188872792,221.7668,León III,GTO
CH23,01/08/2019,1817.755,86880,380,4.783565789,228.6316,Malecón Cancún,CUN
CH25,01/08/2019,467.6429,29031,130,3.597253077,223.3154,Morelia,MIC
CH26,01/08/2019,1117.1029,77882,350,3.191722571,222.52,Plaza Andares,GDL
CH27,01/08/2019,330.978,67325,282,1.173680851,238.7411,Plaza del Sol,GDL
CH28,01/08/2019,923.7986,53339,264,3.499237121,202.0417,Plaza La Rioja,MTY
CH29,01/08/2019,970.1427,54640,249,3.896155422,219.4378,Plaza San Agustín,MTY
CH30,01/08/2019,1198.8765,37163,147,8.155622449,252.8095,Reynosa,REY
CH31,01/08/2019,991.4957,21431,102,9.720546078,210.1078,Saltillo,SAL
CH32,01/08/2019,537.18,22490,104,5.165192308,216.25,San Luis Potosí I,SLP
CH33,01/08/2019,601.7875,60939,250,2.40715,243.756,San Luis Potosí II,SLP
CH34,01/08/2019,544.522,21665,99,5.500222222,218.8384,San Luis Potosí III,SLP
CH35,01/08/2019,762.9555,19155,95,8.031110526,201.6316,Santa Anita,GDL
CH36,01/08/2019,1551.23,44366,201,7.717562189,220.7264,Sendero,MTY
CH38,01/08/2019,581.8095,23110,95,6.124310526,243.2632,Tijuana II,TIJ
CH39,01/08/2019,983.4898,42467,198,4.967120202,214.4798,Torreón I,TOR
CH40,01/08/2019,1452.0622,67181,300,4.840207333,223.9367,Torres,MTY
CH41,01/08/2019,1083.4866,31232,150,7.223244,208.2133,Tuxtla Gutiérrez,CP
CH42,01/08/2019,1126.5519,43003,181,6.224043646,237.5856,Xalapa Las Américas,VER
CH44,01/08/2019,1029.2741,31742,141,7.299816312,225.1206,Tampico,TAM
CH45,01/08/2019,821.2476,38384,175,4.692843429,219.3371,Torreón II,TOR
CH46,01/08/2019,1114.3982,57490,265,4.205276226,216.9434,Anáhuac,MTY
CH47,01/08/2019,992.0838,34054,158,6.279011392,215.5316,Avanta,MTY
CH49,01/08/2019,1349.4964,47203,225,5.997761778,209.7911,Mérida,YUC
CH50,01/08/2019,1360.4659,59577,298,4.565321812,199.9228,Mérida Altabrisa,YUC
CH51,01/08/2019,605.9841,58477,261,2.321778161,224.0498,Mérida Galerías,YUC
CH52,01/08/2019,1423.5824,34580,121,11.7651438,285.7851,Veracruz Boca del Río,VER
CH53,01/08/2019,1281.3726,40806,166,7.719112048,245.8193,Villahermosa,TAB
CH54,01/08/2019,1324.8476,38347,172,7.702602326,222.9477,Villahermosa II,TAB
CH55,01/08/2019,523.396,32092,121,4.325586777,265.2231,Tlaxcala,TLX
CH56,01/08/2019,745.7143,26760,118,6.319612712,226.7797,Tuxtla II,CP
CH57,01/08/2019,771.7133,44526,185,4.171423243,240.6811,Silao,GTO
CH58,01/08/2019,890.3468,24824,115,7.742146087,215.8609,Chihuahua III,CHI
CH59,01/08/2019,825.9575,34089,151,5.469917219,225.755,Apodaca II,MTY
CH61,01/08/2019,1587.9062,46207,212,7.490123585,217.9575,MTY Nuevo Sur,MTY
CH62,01/08/2019,655.929,16523,84,7.808678571,196.7024,Chili's Ciudadela,GDL
CH63,01/08/2019,684.9919,45082,203,3.374344335,222.0788,Galerías Celaya,GTO
CH64,01/08/2019,390.996,27795,126,3.103142857,220.5952,Chili's Plaza Aurora,MTY
ELA01,01/08/2019,2225.691,210010,371,5.999167116,566.0647,Restaurante El Lago,CDMX
OLG01,01/08/2019,844.733,48872,205,4.12064878,238.4,Olive Garden Reforma,CDMX
OLG02,01/08/2019,755.129,37625,163,4.632693252,230.8282,Olive Garden Santa Fe,CDMX
OLG03,01/08/2019,1437.2867,62945,313,4.591970288,201.1022,Olive Garden Cancún,YUC
OLG04,01/08/2019,715.989,40026,148,4.837763514,270.4459,Olive Garden Querétaro,QRO
TCG01,01/08/2019,1345.804,166583,185,7.274616216,900.4486,The Capital Grille,CDMX
TCG02,01/08/2019,1734.261,88362,79,21.95267089,1118.5063,The Capital Grille Mty,MTY
DT01,01/08/2019,861.407,41976,82,10.50496341,511.9024,Destilería Cancún,YUC
DT02,01/08/2019,574.696,64998,179,3.210592179,363.1173,Destilería Reforma,CDMX
CH01,02/08/2019,1066.8896,63507,267,3.995841199,237.8539,Aguascalientes I,AGS
CH02,02/08/2019,680.6757,33169,142,4.793490845,233.5845,Aguascalientes II,AGS
CH03,02/08/2019,1470.6648,68064,288,5.106475,236.3333,Apodaca,MTY
CH04,02/08/2019,1274.3163,52932,255,4.997318824,207.5765,Centro Magno,GDL
CH05,02/08/2019,1021.653,38471,175,5.838017143,219.8343,Chihuahua I,CHI
CH06,02/08/2019,754.1743,46944,191,3.948556545,245.7801,Chihuahua II,CHI
CH07,02/08/2019,1435.0462,84231,361,3.97519723,233.3269,Churubusco,MTY
CH08,02/08/2019,1165.315,61643,276,4.222155797,223.3442,Cintermex,MTY
CH09,02/08/2019,863.1229,32712,146,5.911800685,224.0548,Ciudad del Carmen,CAM
CH10,02/08/2019,1501.0683,60118,275,5.458430182,218.6109,Contry,MTY
CH11,02/08/2019,676.3052,76155,322,2.100326708,236.5062,El Salto,GDL
CH12,02/08/2019,1275.6952,27686,118,10.81097627,234.6271,Forum Cancún,CUN
CH13,02/08/2019,865.7572,46514,213,4.064587793,218.3756,Forum Tepic,TEP
CH14,02/08/2019,1181.6392,47905,205,5.764093659,233.6829,Forum Tlaquepaque,GDL
CH15,02/08/2019,959.8976,71719,318,3.018545912,225.5314,Galerías Gdl,GDL
CH16,02/08/2019,1145.6006,90311,394,2.907615736,229.2157,Galerías Mty,MTY
CH17,02/08/2019,631.3758,59640,276,2.287593478,216.087,Puerto Vallarta,JAL
CH18,02/08/2019,1051.665,63576,301,3.493903654,211.2159,Gran Plaza,GDL
CH20,02/08/2019,981.7852,90294,407,2.412248649,221.8526,León I,GTO
CH21,02/08/2019,805.0378,27154,128,6.289357813,212.1406,León II,GTO
CH22,02/08/2019,870.2925,63419,276,3.153233696,229.779,León III,GTO
CH23,02/08/2019,1363.5628,84225,371,3.675371429,227.0216,Malecón Cancún,CUN
CH25,02/08/2019,636.7929,37956,157,4.056005732,241.758,Morelia,MIC
CH26,02/08/2019,1188.7834,124914,539,2.205535065,231.7514,Plaza Andares,GDL
CH27,02/08/2019,447.226,67692,311,1.438025723,217.6592,Plaza del Sol,GDL
CH28,02/08/2019,1060.8999,55404,263,4.033839924,210.6616,Plaza La Rioja,MTY
CH29,02/08/2019,985.6057,59713,264,3.733354924,226.1856,Plaza San Agustín,MTY
CH30,02/08/2019,1187.8766,50690,193,6.154801036,262.6425,Reynosa,REY
CH31,02/08/2019,956.8943,28446,126,7.594399206,225.7619,Saltillo,SAL
CH32,02/08/2019,562.2715,28554,129,4.358693798,221.3488,San Luis Potosí I,SLP
CH33,02/08/2019,567.8226,41634,180,3.15457,231.3,San Luis Potosí II,SLP
CH34,02/08/2019,533.6903,31622,137,3.895549635,230.8175,San Luis Potosí III,SLP
CH35,02/08/2019,772.8721,35620,182,4.24655,195.7143,Santa Anita,GDL
CH36,02/08/2019,1751.4325,64158,303,5.780305281,211.7426,Sendero,MTY
